iter	RMSE
0	0.2091415839
1	0.1998219325
2	0.1908758794
3	0.1825045761
4	0.1743624003
5	0.1670334583
6	0.1599871007
7	0.1528188395
8	0.1460249085
9	0.1395576696
10	0.1334971948
11	0.1276933926
12	0.1226940618
13	0.1172006331
14	0.1121340412
15	0.1071663678
16	0.102714043
17	0.09852664233
18	0.09440397217
19	0.09029968214
20	0.0865892169
21	0.08303832206
22	0.07991374269
23	0.07661236309
24	0.07354005428
25	0.07081182517
26	0.0680322391
27	0.06514811965
28	0.06268542714
29	0.06011386384
30	0.05771628603
31	0.05554788029
32	0.05345699797
33	0.05139852609
34	0.04942053431
35	0.04762561206
36	0.04585949318
37	0.04419922827
38	0.04263116379
39	0.0414163362
40	0.04003443646
41	0.03866817603
42	0.03738675957
43	0.03618713892
44	0.03503731548
45	0.03391599302
46	0.03305955078
47	0.03211829289
48	0.03116847822
49	0.03030748899
50	0.02941133026
51	0.02855808192
52	0.0278078297
53	0.0271287823
54	0.02644682667
55	0.02584014736
56	0.02529782597
57	0.02480160106
58	0.02428512281
59	0.02381714737
60	0.02335251447
61	0.02291881336
62	0.02249608898
63	0.02209488021
64	0.02172244893
65	0.02137584793
66	0.02106907798
67	0.02081328248
68	0.02052482688
69	0.0202848886
70	0.02002652798
71	0.01977946845
72	0.01954375089
73	0.01934503471
74	0.01910023021
75	0.01889866818
76	0.01869398398
77	0.01853049722
78	0.01837716454
79	0.01819953503
80	0.01805988096
81	0.01790605921
82	0.01778558629
83	0.01766796726
84	0.01751318407
85	0.01738810912
86	0.01727636049
87	0.01715988146
88	0.0170369236
89	0.01692881203
90	0.0168088767
91	0.01671875669
92	0.016612796
93	0.01651503556
94	0.01644250039
95	0.0163519489
96	0.01626063491
97	0.01618150958
98	0.01608803271
99	0.01600637589
100	0.01591873578
101	0.01585101092
102	0.01575893036
103	0.01569222213
104	0.01563620415
105	0.01557020059
106	0.0155192316
107	0.01547306319
108	0.01539872688
109	0.01535255296
110	0.01528869127
111	0.01523149261
112	0.01517367423
113	0.01511451993
114	0.01506017778
115	0.01501424077
116	0.01496757085
117	0.01492073677
118	0.01487639749
119	0.01483310824
120	0.01476950686
121	0.01471497358
122	0.01466636189
123	0.01461382243
124	0.01456852465
125	0.01452693001
126	0.0144629255
127	0.01443192474
128	0.01439570643
129	0.01436482412
130	0.01430812309
131	0.01427386074
132	0.01423112514
133	0.01419024804
134	0.01414902219
135	0.01411174554
136	0.01407075674
137	0.01403996627
138	0.01400328997
139	0.01396031591
140	0.01391949457
141	0.01387973323
142	0.0138484569
143	0.01380480561
144	0.01378047184
145	0.01374695256
146	0.01371160518
147	0.01367096024
148	0.01363323454
149	0.01359979618
150	0.01355871793
151	0.01352680717
152	0.0134970424
153	0.01346861915
154	0.01343110601
155	0.0133889173
156	0.01335164396
157	0.0133242062
158	0.01327750586
159	0.01324791161
160	0.0132209699
161	0.01319117349
162	0.01315841784
163	0.01313098141
164	0.01309707655
165	0.01306795671
166	0.01303938637
167	0.01300278237
168	0.01297980764
169	0.01295007453
170	0.01289783573
171	0.0128663956
172	0.01282944278
173	0.01279893625
174	0.01276723348
175	0.01273985196
176	0.01270654238
177	0.01267631503
178	0.01265084914
179	0.01261093467
180	0.01257756
181	0.01255402914
182	0.0125280884
183	0.01250297577
184	0.01246671516
185	0.01243810745
186	0.01241671646
187	0.01237945721
188	0.01235077435
189	0.01231264328
190	0.01229017476
191	0.0122596141
192	0.01223104193
193	0.01221001656
194	0.01217409834
195	0.01215304338
196	0.01212850185
197	0.01208726191
198	0.012069092
199	0.0120470188
200	0.01202446685
201	0.01199317302
202	0.01196442262
203	0.011943992
204	0.01192498949
205	0.01189388199
206	0.01186782544
207	0.01184272486
208	0.01182269258
209	0.01179284796
210	0.01176931979
211	0.01174048764
212	0.01170413276
213	0.01168327596
214	0.01166730981
215	0.0116313635
216	0.01161807796
217	0.01159306279
218	0.01157201507
219	0.01154817452
220	0.01151763039
221	0.01149247517
222	0.01147320245
223	0.01144866179
224	0.01143006139
225	0.01140009772
226	0.01137473144
227	0.01135685998
228	0.01133853816
229	0.01131953746
230	0.01129471566
231	0.01126759402
232	0.0112476832
233	0.01122318447
234	0.01118865847
235	0.01117134371
236	0.01115212835
237	0.01112849365
238	0.01110443556
239	0.01108638304
240	0.01106619619
241	0.01104319557
242	0.01101531145
243	0.01099467211
244	0.01097366635
245	0.01095061033
246	0.01092933066
247	0.01090800114
248	0.01088838075
249	0.01086703741
250	0.01085333056
251	0.01082847037
252	0.01079793664
253	0.01077999867
254	0.01075297936
255	0.01073061598
256	0.01070346088
257	0.01067465085
258	0.01065732938
259	0.01063589138
260	0.01061785998
261	0.01059899981
262	0.01057514344
263	0.01056331136
264	0.01053738669
265	0.01052297657
266	0.01049825385
267	0.01048174857
268	0.0104604438
269	0.01042839567
270	0.01040790086
271	0.01038805863
272	0.0103705787
273	0.01035065997
274	0.01032711276
275	0.01031038797
276	0.01028769977
277	0.01026644749
